RCP_PARTS_DTLS,RCP_NM,RCP_WAY2,LOW_NA,HIGH_PRO,VEGAN,DIETS,new_train
  인분 기준   주재료   굴      컵   배    개   쪽파  대   홍고추  개   부재료   소금    큰술   양념장   설탕    큰술   고춧가루      큰술   액젓  큰술   매실액  큰술    다진 마늘    큰술   참깨 약간 ,배굴무침,기타,0,0,1,1,"['굴', '배', '쪽파', '대', '홍고추', '설탕', '고춧가루', '액젓', '매실액', '마늘', '참깨']"
       기준   주재료   배  개   오이  개   부재료   설탕    컵   식초    컵   유자청  큰술 ,배피클,기타,0,0,1,1,"['배', '오이', '설탕', '식초', '유자청']"
  인분 기준   주재료   새송이버섯  개   칵테일새우           컵   달걀흰자  개 분량   부재료   풋고추  개   홍고추  개   소금 약간   후춧가루 약간   녹말가루   큰술   밀가루    컵   양념장   고춧가루    큰술   간장  큰술   굴소스    큰술   올리고당    큰 술 ,버섯새우찜,찌기,0,1,1,1,"['새송이버섯', '칵테일새우', '달걀흰자', '분량', '풋고추', '홍고추', '후춧가루', '녹말가루', '밀가루', '고춧가루', '간장', '굴소스', '올리고당']"
  인분 기준   주재료   표고버섯  개   청 홍 피망    개씩   달걀  개   찹쌀가루  큰술    녹말가루  큰술   식용유  컵    부재료   소금 약간   후춧가루 약간   해바라기씨  큰술   호박씨  큰술   강정소스   간장    큰술   맛술  큰술   딸기잼  큰술   고추장      큰술 ,버섯강정,튀기기,0,0,1,1,"['표고버섯', '청', '홍', '피망', '개씩', '달걀', '찹쌀가루', '녹말가루', '식용유', '후춧가루', '해바라기씨', '호박씨', '강정소스', '간장', '맛술', '딸기잼', '고추장']"
  인분 기준   주재료   표고버섯  개   다진 쇠고기         부재료   간장  큰술   참기름      큰술   설탕    큰술   다진 파  큰술    참깨    작은술   식용유  큰술 ,버섯떡갈비,굽기,0,1,0,1,"['표고버섯', '쇠고기', '간장', '참기름', '설탕', '파', '참깨', '식용유']"
  인분 기준   주재료   표고버섯  개   쪽파  대   다진 돼지고기        부재료   소금      청주  큰술   후춧가루 약간   밀가루 약간   양념장   간장  큰술   식초  큰술   물      참깨 약간 ,버섯만두,찌기,0,1,0,1,"['표고버섯', '쪽파', '대', '돼지고기', '청주', '후춧가루', '밀가루', '간장', '식초', '참깨']"
  인분 기준   주재료   오이  개   양파    개   홍고추    개   유자  개    부재료   소금        설탕      연겨자        간장      ,오이유자무침,기타,0,0,1,1,"['오이', '양파', '홍고추', '유자', '설탕', '연겨자', '간장']"
  인분 기준   주재료   파인애플링  개   브로콜리       양상추  장       새우 중하     마리    부재료   소금      달걀흰자  개 분량   녹말가루      마요네즈      유자청       우유      다진 땅콩     ,새우유자마요,튀기기,0,0,1,0,"['파인애플링', '브로콜리', '양상추', '새우', '중하', '달걀흰자', '분량', '녹말가루', '마요네즈', '유자청', '우유', '땅콩']"
  인분 기준   주재료   치자  개   오색미      컵   대추  개   밤  개   잣      호박씨      부재료   설탕    컵   간장          유자청      참기름    ,유자약밥,찌기,0,0,1,0,"['치자', '오색미', '대추', '밤', '잣', '호박씨', '설탕', '간장', '유자청', '참기름']"
  인분 기준   주재료   늙은 호박 밑동        닭다리살        양배추    통   깻잎  장    슈레드 모차렐라치즈    컵   양념장   설탕          고춧가루      간장      맛술      다진 마늘      고추 추 장      참기름        후춧가루 약간 ,늙은 호박 닭갈비,굽기,0,1,0,1,"['늙은', '호박', '밑동', '닭다리살', '양배추', '통', '깻잎', '슈레드', '모차렐라치즈', '설탕', '고춧가루', '간장', '맛술', '마늘', '고추', '추', '참기름', '후춧가루']"
    기준   주재료   배추    통        늙은 호박        쪽파  대   감자    개   부재료   소금    컵      고춧가루    컵   새우젓      멸치 액젓      다진   마늘    ,늙은 호박 김치,기타,0,1,1,1,"['배추', '통', '늙은', '호박', '쪽파', '대', '감자', '고춧가루', '새우젓', '멸치', '액젓', '마늘']"
  인분 기준   주재료   늙은 호박       반죽재료   박력 쌀가루        설탕      소금        인스턴트이스트         식용유      부재료   소금 약간   설탕    ,늙은 호박 찐빵,찌기,0,0,1,0,"['늙은', '호박', '반죽재료', '박력', '쌀가루', '설탕', '인스턴트이스트', '식용유', '설탕']"
  인분 기준   주재료   돼지등갈비        오색미    컵   녹말가루    컵   부재료   대파 푸른 부분   대   마늘  쪽   통후추        양념장   간장      굴소스        맛술      다진 마늘          꿀      참 기름      ,오색미등갈비찜,찌기,0,0,0,0,"['돼지등갈비', '오색미', '녹말가루', '대파', '푸른', '부분', '대', '마늘', '통후추', '간장', '굴소스', '맛술', '마늘', '꿀', '참', '기름']"
  인분 기준   주재료   오색미      컵   두부    모        마른 김    장   부재료   소금        설탕      간장      맛술      단촛물   소금 약간   설탕        식초    ,두부초밥,기타,0,0,1,0,"['오색미', '두부', '김', '설탕', '간장', '맛술', '단촛물', '설탕', '식초']"
  인분 기준   주재료   오색미      컵   양파    개   피망    개   맛살  줄   청양고추   개   슈레드 모차렐라 치즈  컵   날치알      부재료   소금 약간   설탕      식초      마요네즈      연와사비        다진  마늘        후춧가루 약간 ,초밥피자,굽기,0,0,1,0,"['오색미', '양파', '피망', '맛살', '줄', '청양고추', '슈레드', '모차렐라', '치즈', '날치알', '설탕', '식초', '마요네즈', '연와사비', '마늘', '후춧가루']"
 주재료   오색미      컵   양파    개   파프리카    개   미나리    줌       해감 된 바지락       양념장   설탕        고춧가루      간장      매실액      고추장      참기름         참깨      ,바지락비빔밥,기타,0,0,1,0,"['오색미', '양파', '파프리카', '미나리', '해감', '된', '바지락', '설탕', '고춧가루', '간장', '매실액', '고추장', '참기름', '참깨']"
  인분 기준    주재료   동부  컵   참다래  개   미니 단호박        브로콜리    개    두 가지 색 파프리카    개 씩   느타리버섯         부재료   소금        후춧가루 약간   올리브유      참깨      마늘  쪽    레몬즙    ,참다래샐러드 + 동부후무스,기타,0,0,1,0,"['동부', '참다래', '미니', '단호박', '브로콜리', '두', '가지', '색', '파프리카', '씩', '느타리버섯', '후춧가루', '올리브유', '참깨', '마늘', '레몬즙']"
  인분 기준    주재료   참다래  개   닭다릿살  쪽        양배추        당근    개    부재료   간장      황설탕      케찹      다진 마늘      참기름       설탕        소금 약간   식초      올리브유    ,참다래닭구이,굽기,0,1,0,0,"['참다래', '닭다릿살', '양배추', '당근', '간장', '황설탕', '케찹', '마늘', '참기름', '설탕', '식초', '올리브유']"
